Date,Temperature (°C),Humidity (%)
2025-06-10 01:10:01,17.32,102.7
2025-06-10 01:20:01,17.32,102.7
2025-06-10 01:30:01,17.32,102.6
2025-06-10 01:40:01,17.32,102.1
2025-06-10 01:50:01,17.22,101.1
2025-06-10 02:00:01,17.22,100.9
2025-06-10 02:10:01,17.12,101.2
2025-06-10 02:20:01,17.02,100.7
2025-06-10 02:30:01,16.92,100.7
2025-06-10 02:40:01,16.92,101.1
2025-06-10 02:50:01,16.83,101.1
2025-06-10 03:00:01,16.83,101.3
2025-06-10 03:10:01,16.73,101.2
2025-06-10 03:20:01,16.73,101.1
2025-06-10 03:30:01,16.73,101.7
2025-06-10 03:40:01,16.73,101
2025-06-10 03:50:01,16.73,101.8
2025-06-10 04:00:01,16.73,101.2
2025-06-10 04:10:02,16.73,101.3
2025-06-10 04:20:01,16.83,102
2025-06-10 04:30:01,16.83,101.7
2025-06-10 04:40:01,16.83,101.9
2025-06-10 04:50:01,16.83,101.2
2025-06-10 05:00:01,16.83,100.5
2025-06-10 05:10:01,16.83,101.4
2025-06-10 05:20:01,16.92,100.6
2025-06-10 05:30:01,16.92,100.3
2025-06-10 05:40:01,16.92,100.8
2025-06-10 05:50:01,16.92,100.5
2025-06-10 06:00:01,16.92,100.2
2025-06-10 06:10:01,17.02,99.8
2025-06-10 06:20:01,16.92,99.7
2025-06-10 06:30:01,16.92,99.7
2025-06-10 06:40:01,17.12,99.9
2025-06-10 06:50:01,17.52,99.1
2025-06-10 07:00:02,17.42,98.1
2025-06-10 07:10:01,17.52,97.3
2025-06-10 07:20:01,17.62,96.2
2025-06-10 07:30:01,17.62,96
2025-06-10 07:40:01,18.11,94.5
2025-06-10 07:50:01,19.20,89.6
2025-06-10 08:00:01,19.50,87.5
2025-06-10 08:10:01,19.80,87.2
2025-06-10 08:20:01,22.96,74.9
2025-06-10 08:30:01,21.28,77.6
2025-06-10 08:40:01,21.97,75.7
2025-06-10 08:50:01,22.77,72.1
2025-06-10 09:00:01,25.24,70
2025-06-10 09:10:01,26.03,64.1
2025-06-10 09:20:01,27.32,62.8
2025-06-10 09:30:01,27.72,57.5
2025-06-10 09:40:01,26.03,63.9
2025-06-10 09:50:01,23.76,67.3
2025-06-10 10:00:01,22.96,74.4
2025-06-10 10:10:01,23.16,72.7
2025-06-10 10:20:01,24.94,70
2025-06-10 10:30:01,26.63,65.6
2025-06-10 10:40:01,28.90,53.7
2025-06-10 10:50:01,27.02,61.8
2025-06-10 11:00:01,25.04,67.4
2025-06-10 11:10:01,28.51,63.5
2025-06-10 11:20:01,25.24,67.6
2025-06-10 11:30:01,23.06,77.3
2025-06-10 11:40:01,23.16,79.4
2025-06-10 11:50:01,22.47,79.4
2025-06-10 12:00:01,24.84,77.2
2025-06-10 12:10:01,25.74,68.3
2025-06-10 12:20:01,26.03,60.5
2025-06-10 12:30:01,25.83,64.9
2025-06-10 12:40:01,25.54,62.2
2025-06-10 12:50:01,25.54,63.9
2025-06-10 13:00:01,25.64,66.7
2025-06-10 13:10:01,25.93,61.4
2025-06-10 13:20:01,26.23,53.9
2025-06-10 13:30:01,26.53,56.8
2025-06-10 13:40:01,26.63,46.6
2025-06-10 13:50:01,26.82,53.1
2025-06-10 14:00:01,26.92,47.2
2025-06-10 14:10:01,26.73,52.5
2025-06-10 14:20:01,26.92,48.2
2025-06-10 14:30:01,26.82,48.6
2025-06-10 14:40:01,26.82,50.3
2025-06-10 14:50:01,26.63,49
2025-06-10 15:00:01,26.43,50.6
2025-06-10 15:10:01,26.13,49.5
2025-06-10 15:20:01,25.44,49.8
2025-06-10 15:30:01,24.84,53.8
2025-06-10 15:40:01,24.75,47.9
2025-06-10 15:50:01,24.55,52
